,Filing Date,Symbol,Company Name,Price Range,Shares Offered,Price Range_nos,Avg_price,Shares_offered_value
24,2024-03-06,PGHL,Primega Group Holdings Limited,4.00 - 6.00,1750000.0,2,5.0,8750000.0
25,2024-03-06,WYHG,Wing Yip Food Holdings Group Limited,-,,0,0.0,
26,2024-03-04,LUD,Luda Technology Group Limited,3.00 - 4.00,2500000.0,2,3.5,8750000.0
27,2024-03-04,SKUB,Skubbs Holdings Limited,-,2000000.0,0,0.0,0.0
28,2024-02-20,ORKT,Orangekloud Technology Inc.,4.00 - 5.00,2500000.0,2,4.5,11250000.0
29,2024-02-09,IZTC,Invizyne Technologies Inc.,4.00,4300000.0,1,4.0,17200000.0
30,2024-02-08,WCT,Wellchange Holdings Company Limited,4.00 - 5.00,2000000.0,2,4.5,9000000.0
31,2024-02-08,JBDI,JBDI Holdings Limited,4.00 - 5.00,1750000.0,2,4.5,7875000.0
32,2024-02-08,GCDT,Green Circle Decarbonize Technology Limited,4.13,2400000.0,1,4.13,9912000.0
33,2024-02-07,QQJ,QQJ Inc.,-,2250000.0,0,0.0,0.0
34,2024-02-07,NOVS,Novusterra Inc.,-,14482430.0,0,0.0,0.0
35,2024-02-05,VEG,Veg House Holdings Inc.,5.00,1000000.0,1,5.0,5000000.0
36,2024-02-02,FLYE,"Fly-E Group, Inc.",4.00 - 5.00,3000000.0,2,4.5,13500000.0
37,2024-02-01,XCH,XCHG Limited,-,,0,0.0,
38,2024-01-31,PLUT,Plutus Financial Group Limited,4.00 - 6.00,2100000.0,2,5.0,10500000.0
39,2024-01-29,SKK,SKK Holdings Limited,4.00 - 5.00,2500000.0,2,4.5,11250000.0
40,2024-01-26,TPI,TessPay Inc.,5.00 - 6.00,1300000.0,2,5.5,7150000.0
41,2024-01-26,JIE,Semidux Holding Limited,-,,0,0.0,
42,2024-01-25,APRI,APRINOIA Therapeutics Inc.,10.00 - 14.00,2000000.0,2,12.0,24000000.0
43,2024-01-24,IOTR,iOThree Limited,4.00 - 6.00,3718195.0,2,5.0,18590975.0
44,2024-01-22,JHY,Juheying Intelligent Technology Ltd,-,,0,0.0,
45,2024-01-16,RECT,Rectitude Holdings Ltd,4.00 - 6.00,2000000.0,2,5.0,10000000.0
46,2024-01-09,ZYBT,Zhengye Biotechnology Holding Limited,-,,0,0.0,
47,2024-01-09,LUMA,Deerhorse One Zero Eight Holding Limited,-,,0,0.0,
48,2024-01-08,LLLL,Love & Health Limited,10.00,5000000.0,1,10.0,50000000.0
49,2023-12-29,LEC,Lafayette Energy Corp,3.50 - 4.50,1200000.0,2,4.0,4800000.0
50,2023-12-29,EPSM,Epsium Enterprise Limited,-,,0,0.0,
51,2023-12-28,ONDR,"Sushi Ginza Onodera, Inc.",7.00 - 8.00,1066667.0,2,7.5,8000002.5
52,2023-12-27,JDZG,Jiade Limited,4.00 - 5.00,2200000.0,2,4.5,9900000.0
53,2023-12-22,CHLW,Chun Hui Le Wan International Holding Group Ltd,-,,0,0.0,
54,2023-12-22,LZMH,LZ Technology Holdings Limited,-,,0,0.0,
55,2023-12-21,EEET,3 E Network Technology Group Limited,4.00 - 6.00,3000000.0,2,5.0,15000000.0
56,2023-12-20,ROLR,"High Roller Technologies, Inc.",8.00 - 10.00,1500000.0,2,9.0,13500000.0
57,2023-12-20,AHL,Aspen Insurance Holdings Limited,-,,0,0.0,
58,2023-12-18,NTHI,"NeOnc Technologies Holdings, Inc.",11.25 - 13.75,6000000.0,2,12.5,75000000.0
59,2023-12-15,GIT,Going International Holding Company Limited,-,,0,0.0,
60,2023-12-11,EIL,E I L Holdings Limited,-,,0,0.0,
61,2023-12-08,ENGS,Energys Group Limited,4.00 - 6.00,2000000.0,2,5.0,10000000.0
62,2023-12-08,LNKS,Linkers Industries Limited,4.00 - 6.00,2200000.0,2,5.0,11000000.0
63,2023-12-07,HOS,"Hornbeck Offshore Services, Inc.",-,,0,0.0,
64,2023-12-06,TKBD,TechyBird Acquisition Corp.,10.00,6000000.0,1,10.0,60000000.0
65,2023-12-06,WDQY,Wangdiqiyuan International Holdings Ltd.,-,,0,0.0,
66,2023-11-29,HHGJ,Concord Health Limited,4.00,,1,4.0,
67,2023-11-21,HYHL,"Houyi Digital Internet Industry Technology Co., Ltd.",5.00,20000000.0,1,5.0,100000000.0
68,2023-11-20,COC,COR3 & Co. (Holdings) Limited,4.00 - 5.00,3875000.0,2,4.5,17437500.0
69,2023-11-13,SFHG,Samfine Creation Holdings Group Limited,4.00 - 5.00,2500000.0,2,4.5,11250000.0
70,2023-11-09,QMIX,QMIS TBS Capital Group Corp.,-,,0,0.0,
71,2023-11-08,WMBT,"Sichuan Wanma Benteng Technology Co., Ltd.",10.00,7000000.0,1,10.0,70000000.0
